carrier storage model color productid
ATT 8GB 4S BLACK 1
ATT 16GB 4S BLACK 2
ATT 32GB 4S BLACK 3
ATT 64GB 4S BLACK 4
ATT 8GB 4S WHITE 5
ATT 16GB 4S WHITE 6
ATT 32GB 4S WHITE 7
ATT 64GB 4S WHITE 8
ATT 8GB 4 BLACK 9
ATT 16GB 4 BLACK 10
ATT 32GB 4 BLACK 11
ATT 8GB 4 WHITE 12
ATT 16GB 4 WHITE 13
ATT 32GB 4 WHITE 14
ATT 8GB 5C WHITE 15
ATT 16GB 5C WHITE 16
ATT 32GB 5C WHITE 17
ATT 8GB 5C PINK 18
ATT 16GB 5C PINK 19
ATT 32GB 5C PINK 20
ATT 8GB 5C YELLOW 21
ATT 16GB 5C YELLOW 22
ATT 32GB 5C YELLOW 23
ATT 8GB 5C BLUE 24
ATT 16GB 5C BLUE 25
ATT 32GB 5C BLUE 26
ATT 8GB 5C GREEN 27
ATT 16GB 5C GREEN 28
ATT 32GB 5C GREEN 29
ATT 16GB 5S SILVER 30
ATT 32GB 5S SILVER 31
ATT 64GB 5S SILVER 32
ATT 16GB 5S SPACE 33
ATT 32GB 5S SPACE 34
ATT 64GB 5S SPACE 35
ATT 16GB 5S GOLD 36
ATT 32GB 5S GOLD 37
ATT 64GB 5S GOLD 38
ATT 16GB 5S GRAY 39
ATT 32GB 5S GRAY 40
ATT 64GB 5S GRAY 41
ATT 16GB 5 BLACK 42
ATT 32GB 5 BLACK 43
ATT 64GB 5 BLACK 44
ATT 16GB 5 SLATE 45
ATT 32GB 5 SLATE 46
ATT 64GB 5 SLATE 47
ATT 16GB 5 WHITE 48
ATT 32GB 5 WHITE 49
ATT 64GB 5 WHITE 50
ATT 16GB 5 PINK 51
ATT 32GB 5 PINK 52
ATT 64GB 5 PINK 53
ATT 16GB 5 YELLOW 54
ATT 32GB 5 YELLOW 55
ATT 64GB 5 YELLOW 56
ATT 16GB 5 BLUE 57
ATT 32GB 5 BLUE 58
ATT 64GB 5 BLUE 59
ATT 16GB 5 RED 60
ATT 32GB 5 RED 61
ATT 64GB 5 RED 62
ATT 16GB 5 GRAY 63
ATT 32GB 5 GRAY 64
ATT 64GB 5 GRAY 65
ATT 16GB 6PLUS SILVER 66
ATT 64GB 6PLUS SILVER 67
ATT 128GB 6PLUS SILVER 68
ATT 16GB 6PLUS SPACE 69
ATT 64GB 6PLUS SPACE 70
ATT 128GB 6PLUS SPACE 71
ATT 16GB 6PLUS GOLD 72
ATT 64GB 6PLUS GOLD 73
ATT 128GB 6PLUS GOLD 74
ATT 16GB 6PLUS GRAY 75
ATT 64GB 6PLUS GRAY 76
ATT 128GB 6PLUS GRAY 77
ATT 16GB 6 SILVER 78
ATT 64GB 6 SILVER 79
ATT 128GB 6 SILVER 80
ATT 16GB 6 SPACE 81
ATT 64GB 6 SPACE 82
ATT 128GB 6 SPACE 83
ATT 16GB 6 GOLD 84
ATT 64GB 6 GOLD 85
ATT 128GB 6 GOLD 86
ATT 16GB 6 GRAY 87
ATT 64GB 6 GRAY 88
ATT 128GB 6 GRAY 89
VERIZON 8GB 4S BLACK 90
VERIZON 16GB 4S BLACK 91
VERIZON 32GB 4S BLACK 92
VERIZON 64GB 4S BLACK 93
VERIZON 8GB 4S WHITE 94
VERIZON 16GB 4S WHITE 95
VERIZON 32GB 4S WHITE 96
VERIZON 64GB 4S WHITE 97
VERIZON 8GB 4 BLACK 98
VERIZON 16GB 4 BLACK 99
VERIZON 32GB 4 BLACK 100
VERIZON 8GB 4 WHITE 101
VERIZON 16GB 4 WHITE 102
VERIZON 32GB 4 WHITE 103
VERIZON 8GB 5C WHITE 104
VERIZON 16GB 5C WHITE 105
VERIZON 32GB 5C WHITE 106
VERIZON 8GB 5C PINK 107
VERIZON 16GB 5C PINK 108
VERIZON 32GB 5C PINK 109
VERIZON 8GB 5C YELLOW 110
VERIZON 16GB 5C YELLOW 111
VERIZON 32GB 5C YELLOW 112
VERIZON 8GB 5C BLUE 113
VERIZON 16GB 5C BLUE 114
VERIZON 32GB 5C BLUE 115
VERIZON 8GB 5C GREEN 116
VERIZON 16GB 5C GREEN 117
VERIZON 32GB 5C GREEN 118
VERIZON 16GB 5S SILVER 119
VERIZON 32GB 5S SILVER 120
VERIZON 64GB 5S SILVER 121
VERIZON 16GB 5S SPACE 122
VERIZON 32GB 5S SPACE 123
VERIZON 64GB 5S SPACE 124
VERIZON 16GB 5S GOLD 125
VERIZON 32GB 5S GOLD 126
VERIZON 64GB 5S GOLD 127
VERIZON 16GB 5S GRAY 128
VERIZON 32GB 5S GRAY 129
VERIZON 64GB 5S GRAY 130
VERIZON 16GB 5 BLACK 131
VERIZON 32GB 5 BLACK 132
VERIZON 64GB 5 BLACK 133
VERIZON 16GB 5 SLATE 134
VERIZON 32GB 5 SLATE 135
VERIZON 64GB 5 SLATE 136
VERIZON 16GB 5 WHITE 137
VERIZON 32GB 5 WHITE 138
VERIZON 64GB 5 WHITE 139
VERIZON 16GB 5 PINK 140
VERIZON 32GB 5 PINK 141
VERIZON 64GB 5 PINK 142
VERIZON 16GB 5 YELLOW 143
VERIZON 32GB 5 YELLOW 144
VERIZON 64GB 5 YELLOW 145
VERIZON 16GB 5 BLUE 146
VERIZON 32GB 5 BLUE 147
VERIZON 64GB 5 BLUE 148
VERIZON 16GB 5 RED 149
