average rating,num reviews, title, category
3.7,86,Bible Verse Memory Trainer,Books & Comics
1.0,6,Coloring Book For Adults - Relaxing Anti-Stress and Therapetic Coloring Book,Books & Comics
3.6,194,Moon+ Reader Pro,Books & Comics
3.2,95,Free eBooks Pro,Books & Comics
3.9,120,Turbo Movie Storybook,Books & Comics
3.7,86,Bible Verse Memory Trainer,Books & Comics
1.0,6,Coloring Book For Adults - Relaxing Anti-Stress and Therapetic Coloring Book,Books & Comics
3.6,194,Moon+ Reader Pro,Books & Comics
3.2,95,Free eBooks Pro,Books & Comics
3.9,120,Turbo Movie Storybook,Books & Comics
3.3,22,3D Earth Map for google earth,City Info
3.2,456,GPS Maps with HD Street View,City Info
3.6,260,Tab for Google Maps & offline map,City Info
3.2,89,Nav for Google Maps,City Info
2.4,31,Skyguide Stars For Kindle,City Info
3.7,56,US Topo Maps Pro,City Info
2.8,5,3D StreetView,City Info
3.5,6,Night Sky map,City Info
3.5,6,Gps Maps Free,City Info
3.3,22,3D Earth Map for google earth,City Info
3.2,456,GPS Maps with HD Street View,City Info
3.6,260,Tab for Google Maps & offline map,City Info
3.2,89,Nav for Google Maps,City Info
2.4,31,Skyguide Stars For Kindle,City Info
3.7,56,US Topo Maps Pro,City Info
2.8,5,3D StreetView,City Info
3.5,6,Night Sky map,City Info
3.5,6,Gps Maps Free,City Info
2.3,3,App for Class Dojo,Communication
1.5,35,Chat Messaging Apps Comparison,Communication
2.7,3,Help for Whatsapp (User Guide tips and tricks),Communication
0.0,0,wechat,Communication
3.3,41,WIFI Web Login,Communication
0.0,0,Skins For Minecraft - Minecraft Skins For Pocket Edition,Communication
0.0,0,Kindle Client for MeetMe,Communication
2.3,3,App for Class Dojo,Communication
1.5,35,Chat Messaging Apps Comparison,Communication
2.7,3,Help for Whatsapp (User Guide tips and tricks),Communication
0.0,0,wechat,Communication
3.3,41,WIFI Web Login,Communication
0.0,0,Skins For Minecraft - Minecraft Skins For Pocket Edition,Communication
